Genre,year,sum
Boston Hip Hop,2019,236.00000000000006
Boston Hip Hop,2020,487.65000000000003
Boston Punk,2005,805.95
Bow Pop,2000,76.0
Boy Band,1993,24.8
Boy Band,1994,3975.9
Boy Band,1996,3560.6000000000013
Boy Band,1997,1164.8000000000002
Boy Band,1998,248.0
Boy Band,1999,50071.39999999999
Boy Band,2000,43.2
Boy Band,2001,1391.6000000000001
Boy Band,2002,401.6
Boy Band,2003,186.15
Boy Band,2006,52.8
Boy Band,2007,407.95
Boy Band,2008,708.25
Boy Band,2009,292.4
Boy Band,2010,32.0
Boy Band,2011,1341.6000000000001
Boy Band,2012,12645.15
Boy Band,2013,6745.1
Boy Band,2014,18058.7
Boy Band,2015,6161.900000000001
Boy Band,2016,497406.0
Boy Band,2017,122220.75
Boy Band,2018,1994856.4500000007
Boy Band,2019,2268943.05
Boy Band,2020,380103.60000000003
Brazilian Bass,2018,44.0
Brazilian Edm,2017,1605.1
Brazilian Edm,2018,1412.8500000000006
Brazilian Edm,2019,4063.2999999999997
Brazilian Edm,2020,4.8
Brazilian Hip Hop,2018,1446.3999999999994
Brighton Indie,2006,76795.79999999992
Brill Building Pop,1968,177.60000000000005
Brill Building Pop,2005,1526.5
Brill Building Pop,2007,19.200000000000006
Brill Building Pop,2012,9.6
Brill Building Pop,2015,6638.05
Brill Building Pop,2018,8824.050000000001
Brill Building Pop,2019,37583.35
Bristol Indie,2020,157.75
Brit Funk,1999,36.8
British Alternative Rock,2018,0.8
British Blues,1970,110.4
British Country,2017,199.2
British Dance Band,2010,26.4
British Dance Band,2015,4.0
British Folk,1970,119.2
British Folk,1971,94.35
British Indie Rock,2007,50.40000000000001
British Indie Rock,2019,69689.05
British Indie Rock,2020,68.80000000000001
British Singer-songwriter,2011,565.2
British Singer-songwriter,2018,101.6
British Soul,1993,257.6
British Soul,1994,76.0
British Soul,1996,55.2
British Soul,2000,166.40000000000003
British Soul,2001,20.0
British Soul,2006,2078.85
British Soul,2008,35339.0
British Soul,2011,27612.500000000015
British Soul,2012,78.4
British Soul,2013,45562.55
British Soul,2015,65.60000000000001
British Soul,2016,436963.45
British Soul,2017,53460.4
British Soul,2018,20935.65
British Soul,2019,60.80000000000001
British Soul,2020,12780.900000000001
British Soundtrack,1983,14.4
Britpop,1997,593.9
Britpop,2001,186.45000000000005
Britpop,2002,89.6
Britpop,2005,112.55000000000001
Britpop,2006,17.6
Britpop,2008,196.80000000000007
Britpop,2017,21923.7
Britpop,2019,3214.8
Britpop,2020,62.40000000000001
Broadway,2015,1370.1000000000004
Broadway,2017,433123.54999999993
Broadway,2018,113.60000000000001
Brooklyn Drill,2018,123.2
Brooklyn Drill,2019,356186.24999999994
Brooklyn Drill,2020,1317318.85
Brooklyn Indie,2016,14677.850000000004
Brooklyn Indie,2017,11.200000000000001
Brostep,2016,52125.4
Brostep,2017,192230.94999999998
Brostep,2018,2095297.100000002
Brostep,2019,805234.55
Brostep,2020,469571.3999999999
Bubblegum Dance,1983,23081.949999999983
Bubblegum Dance,1993,63.2
Bubblegum Dance,1996,79.2
Bubblegum Dance,1997,134.4
Bubblegum Dance,1999,79.20000000000002
Bubblegum Dance,2000,88.80000000000001
Bubblegum Dance,2001,177.55
Bubblegum Dance,2002,202.4
Bubblegum Dance,2003,65.60000000000001
Bubblegum Dance,2005,77.60000000000002
Bubblegum Dance,2006,16.8
Bubblegum Dance,2010,194.5
Bubblegum Dance,2011,559.65
Bubblegum Dance,2013,189.60000000000002
Bubblegum Dance,2017,94.4
Bubblegum Pop,1967,1128.8
Bulgarian Pop,2019,827.2
C-pop,2002,89.60000000000002
C-pop,2015,1311.6999999999996
C-pop,2017,2938.9500000000003
C-pop,2018,30.4
C-pop,2019,277.25
C86,2010,313.5
Cali Rap,2017,3654.6
Cali Rap,2018,219750.8
Cali Rap,2019,843192.65
Cali Rap,2020,850476.6
